age,monthly income,ns1,ns2,ns3,sb,gender,marital status,current employment status,dbms,visualization tools,experience(in years),days_since_applying,continent,num_skills,occupation_category,cluster
58.0,69196.0,a,0,missing,1,missing,missing,employed,Excel,PowerBI,3,10.0,Asia,2,Planning & Operations,3
41.6,147853.0,missing,0,abc,1,M,missing,freelancer,Python,Tableau,3,1086.0,Asia,2,Engineering & Product Dev,2
24.0,95165.0,b,1,missing,1,missing,missing,employed,missing,R,10,671.2,Asia,2,Media & Creative Arts,0
42.8,17012.0,a,1,001,0,M,missing,missing,Python,Tableau,5,398.0,Africa,2,Engineering & Product Dev,1
36.6,23717.0,c,0,missing,0,F,missing,freelancer,missing,Tableau,10,556.0,Africa,2,Community & Admin Services,3
21.0,110162.0,b,1,002,1,F,missing,missing,missing,Tableau,4,380.0,Europe,2,Healthcare & Therapy,0
42.452599388379205,117311.0,missing,0,002,0,missing,single,employed,Excel,Tableau,10,539.2338129496403,North America,2,Engineering & Product Dev,2
42.452599388379205,105039.0,missing,0,003,1,M,missing,freelancer,Excel,R,6,539.2338129496403,Oceania,2,"Business, Finance & Legal",2
47.0,51832.0,missing,1,missing,1,missing,married,unemployed,Python,Tableau,8,235.0,North America,2,Healthcare & Therapy,1
38.6,34325.0,c,1,002,1,F,single,employed,missing,PowerBI,8,258.0,Africa,2,Planning & Operations,1
42.452599388379205,48287.0,b,0,missing,1,F,married,freelancer,missing,R,7,539.2338129496403,North America,2,Healthcare & Therapy,3
46.0,93627.0,a,0,missing,0,missing,single,employed,Excel,Tableau,1,876.0,Asia,2,Community & Admin Services,2
39.0,132248.0,a,0,002,1,F,missing,unemployed,Excel,PowerBI,10,451.2000000000001,Europe,2,Planning & Operations,2
42.452599388379205,19200.0,b,1,abc,1,M,married,unemployed,missing,missing,2,539.2338129496403,North America,2,Planning & Operations,1
42.452599388379205,24761.0,missing,0,001,1,missing,single,unemployed,SQL,missing,7,539.2338129496403,Oceania,2,Planning & Operations,3
38.0,5565.0,missing,1,abc,1,missing,missing,unemployed,SQL,R,3,284.0,North America,2,Media & Creative Arts,1
42.452599388379205,87209.0,a,1,missing,1,missing,married,employed,missing,PowerBI,2,539.2338129496403,Africa,2,Engineering & Product Dev,0
56.0,69543.0,a,0,001,1,missing,missing,freelancer,SQL,R,3,29.0,Europe,2,Engineering & Product Dev,3
43.0,24016.0,a,0,missing,1,M,married,missing,Python,Tableau,5,344.0,Asia,2,Healthcare & Therapy,3
49.0,147401.0,b,0,missing,1,missing,single,unemployed,Python,PowerBI,1,470.0,Europe,2,Engineering & Product Dev,2
53.0,60215.0,c,0,missing,1,missing,missing,employed,Excel,missing,4,597.0,Europe,2,Science & Research,3
45.0,73670.0,c,0,missing,1,missing,single,employed,SQL,missing,0,1071.0,Asia,2,Science & Research,3
42.0,15965.0,b,0,001,1,F,married,employed,Python,missing,6,853.0,Asia,2,Engineering & Product Dev,3
65.0,51413.0,missing,1,002,1,missing,married,freelancer,SQL,PowerBI,6,1067.0,Unknown,2,Surveying & Real Estate,1
48.0,125665.0,c,1,002,0,M,married,missing,Python,R,1,513.0,Unknown,2,Community & Admin Services,0
42.452599388379205,145565.0,c,1,001,1,F,missing,employed,Excel,missing,6,539.2338129496403,Asia,2,Surveying & Real Estate,0
42.452599388379205,139066.0,b,1,missing,0,Other,missing,employed,missing,missing,10,539.2338129496403,Europe,2,Healthcare & Therapy,0
38.6,23343.0,c,0,003,1,Other,missing,missing,Python,missing,4,103.0,Africa,2,Engineering & Product Dev,3
26.0,104390.0,c,0,missing,1,missing,single,freelancer,Python,Tableau,6,593.6,South America,2,Planning & Operations,2
52.8,120909.0,a,0,abc,0,M,missing,employed,SQL,R,3,7.0,Asia,2,Engineering & Product Dev,2
27.0,129554.0,b,0,abc,0,missing,missing,unemployed,SQL,PowerBI,1,383.0,Europe,2,Healthcare & Therapy,2
32.0,70325.0,b,0,002,1,missing,missing,missing,missing,missing,6,413.2000000000001,Asia,2,Engineering & Product Dev,3
46.0,69812.0,b,0,abc,0,Other,single,freelancer,SQL,R,5,672.0,Oceania,2,Planning & Operations,3
52.0,105410.0,c,0,001,1,missing,missing,missing,Excel,Tableau,6,714.0,North America,2,"Business, Finance & Legal",2
41.0,104714.0,missing,1,003,1,missing,married,missing,SQL,R,6,161.0,Africa,2,Engineering & Product Dev,0
46.4,110989.0,c,0,002,1,missing,single,employed,missing,Tableau,7,780.0,North America,2,Surveying & Real Estate,2
42.452599388379205,124196.0,c,0,abc,1,missing,single,missing,Excel,missing,0,539.2338129496403,Unknown,2,Science & Research,2
50.2,15553.0,a,0,002,1,missing,married,unemployed,missing,PowerBI,9,1042.0,North America,2,Engineering & Product Dev,3
35.8,48984.0,b,0,003,1,missing,missing,missing,missing,missing,3,564.0,North America,2,Engineering & Product Dev,3
36.8,84058.0,b,0,001,1,missing,missing,employed,missing,R,0,248.0,North America,2,Planning & Operations,2
49.0,125517.0,c,1,002,1,missing,missing,missing,missing,missing,4,592.8,North America,2,Community & Admin Services,0
33.0,68927.0,missing,0,missing,1,Other,missing,freelancer,SQL,missing,3,21.0,Oceania,2,Community & Admin Services,3
48.0,77422.0,missing,1,missing,0,M,missing,missing,missing,Tableau,7,122.0,Europe,2,"Business, Finance & Legal",1
42.452599388379205,29393.0,b,0,abc,0,Other,missing,missing,missing,missing,5,539.2338129496403,Asia,2,Engineering & Product Dev,3
40.4,123946.0,b,1,003,0,M,married,freelancer,Excel,missing,2,917.0,North America,2,Science & Research,0
42.452599388379205,142530.0,b,1,002,1,F,married,freelancer,Excel,missing,2,539.2338129496403,Oceania,2,Healthcare & Therapy,0
20.0,38103.0,missing,1,001,1,missing,missing,freelancer,SQL,PowerBI,4,526.6,Africa,2,Science & Research,1
25.0,19053.0,c,0,missing,1,M,single,missing,missing,missing,9,501.6,Africa,2,Community & Admin Services,3
42.452599388379205,121056.0,b,0,abc,1,missing,single,missing,Excel,Tableau,10,539.2338129496403,Asia,2,Science & Research,2
43.2,50564.0,missing,1,002,1,missing,missing,freelancer,Excel,Tableau,4,691.0,Oceania,2,Media & Creative Arts,1
42.452599388379205,66190.0,b,0,missing,0,missing,married,unemployed,Python,Tableau,1,539.2338129496403,Africa,2,Community & Admin Services,3
42.452599388379205,80657.0,missing,1,abc,1,missing,missing,missing,Excel,missing,0,539.2338129496403,Africa,2,Surveying & Real Estate,1
42.452599388379205,28940.0,a,0,missing,1,Other,single,unemployed,missing,missing,10,539.2338129496403,Unknown,2,Engineering & Product Dev,3
35.0,133902.0,b,0,003,1,Other,single,unemployed,Python,missing,7,567.6,North America,2,Planning & Operations,2
42.452599388379205,28084.0,c,1,003,1,missing,single,missing,missing,missing,0,539.2338129496403,Africa,2,Healthcare & Therapy,1
